index, timestamp, x, y, z, qx, qy, qz, qw
49, 0.00000000, 91.56176800, 10.75705400, 37.77062000, -0.00004100, 0.00006800, 0.95835500, 0.28558000
50, 0.00000000, 105.36347700, -6.49664000, 37.00695800, 0.00006300, -0.00002700, 0.11495300, 0.99337100
51, 0.00000000, 101.29223200, -17.03605800, 34.98541100, 0.00009500, -0.00009400, -0.70130500, 0.71286100
52, 0.00000000, 95.86811900, -8.88614800, 36.22709500, -0.00018200, -0.00005000, 0.98998600, 0.14116300
53, 0.00000000, 88.77150100, -17.80268400, 34.80129400, 0.00017900, -0.00009500, -0.32130800, 0.94697500
54, 0.00000000, 96.61599500, -28.75867500, 34.41771600, 0.00012200, 0.00005900, 0.62881800, 0.77755200
55, 0.00000000, 109.08448800, -27.10539600, 34.61206800, 0.00020800, -0.00000600, -0.99338300, 0.11484700
56, 0.00000000, 89.90906300, -45.30843300, 33.38857500, 0.00012400, -0.00019600, -0.87507000, 0.48399600
57, 0.00000000, 84.64611700, -58.39800200, 32.74603100, 0.00010400, -0.00015200, -0.97964900, 0.20071600
58, 0.00000000, 72.11509400, -47.92465800, 32.83142700, -0.00006200, 0.00018400, 0.99982800, 0.01853700
59, 0.00000000, 59.90979200, -42.18034900, 32.85168600, 0.00003000, -0.00004700, -0.65294800, 0.75740300
60, 0.00000000, 102.78912900, -59.18550100, 32.89958600, 0.00007100, -0.00014100, -0.56313700, 0.82636400
61, 0.00000000, 118.24197800, -66.94755100, 32.81426000, -0.00008700, 0.00006500, 0.97842700, 0.20659400
62, 0.00000000, 78.71046500, -74.29252800, 31.51163400, 0.00004700, -0.00005800, -0.63749700, 0.77045300
63, 0.00000000, 73.44786200, -85.30231300, 31.31597400, 0.00003900, -0.00004000, -0.52790100, 0.84930600
64, 0.00000000, 69.73753400, -95.99374300, 31.03602900, 0.00010900, -0.00003200, -0.24347800, 0.96990600
65, 0.00000000, 109.47200400, -131.65478700, 30.70173000, -0.00009500, 0.00002000, -0.75409000, 0.65677100
66, 0.00000000, 110.06044300, -139.49099800, 31.02900500, -0.00010500, 0.00001400, -0.83548700, 0.54951000
67, 0.00000000, 94.44311000, -150.60358200, 30.06027500, 0.00001300, -0.00004500, -0.83856500, 0.54480100
68, 0.00000000, 91.72707500, -128.03183000, 30.53752100, -0.00010200, 0.00008200, 0.99940800, 0.03439000
69, 0.00000000, 69.01112600, -145.70623000, 29.02549300, -0.00006700, 0.00017700, 0.30364400, 0.95278600
