index, timestamp, x, y, z, qx, qy, qz, qw
56, 1674492825.36373448, 4.22529173, -0.88722390, 0.03520661, -0.00190803, -0.00995735, -0.19882295, 0.97998298
57, 1674492825.46331263, 4.31164789, -0.91242915, 0.03431920, -0.00194674, -0.01037932, -0.20261230, 0.97920209
58, 1674492825.58548450, 4.38633204, -0.94218475, 0.02969850, -0.00203445, -0.01086249, -0.20682022, 0.97831655
59, 1674492825.66748118, 4.45868492, -0.97694451, 0.03079408, -0.00193786, -0.01102810, -0.21017998, 0.97759859
60, 1674492825.76293445, 4.55447340, -1.01972330, 0.03130590, -0.00192943, -0.01122099, -0.21451317, 0.97665473
61, 1674492825.86971283, 4.64465952, -1.07243001, 0.03906715, -0.00189057, -0.01134552, -0.21889946, 0.97567963
62, 1674492825.99616575, 4.73783493, -1.11612451, 0.04230460, -0.00185679, -0.01140284, -0.22319939, 0.97470435
63, 1674492826.07831478, 4.84141636, -1.14816916, 0.04717133, -0.00186117, -0.01144573, -0.22704877, 0.97381435
64, 1674492826.19732118, 4.91701174, -1.19308150, 0.04822994, -0.00182505, -0.01159237, -0.23146482, 0.97277249
65, 1674492826.27164698, 5.01632738, -1.24150956, 0.05603269, -0.00179753, -0.01151031, -0.23589893, 0.97170776
66, 1674492826.37795186, 5.11906433, -1.29576695, 0.06155665, -0.00180471, -0.01149794, -0.24045861, 0.97058961
67, 1674492826.50279522, 5.21087790, -1.34071159, 0.06846786, -0.00178977, -0.01140710, -0.24378655, 0.96976017
68, 1674492826.57625127, 5.29050970, -1.38949597, 0.07510391, -0.00177862, -0.01132712, -0.24727643, 0.96887713
69, 1674492826.68154573, 5.37560129, -1.43078065, 0.07564274, -0.00168192, -0.01118786, -0.25157921, 0.96777058
70, 1674492826.77147365, 5.45703650, -1.47964489, 0.07826424, -0.00175284, -0.01155335, -0.25488828, 0.96689990
71, 1674492826.87806249, 5.54763126, -1.53031278, 0.07527018, -0.00159785, -0.01207763, -0.25831827, 0.96598305
72, 1674492826.98415017, 5.62540770, -1.56944346, 0.06889743, -0.00163507, -0.01253396, -0.26132797, 0.96516730
73, 1674492827.08134174, 5.69987059, -1.60257196, 0.06901345, -0.00181815, -0.01288316, -0.26399303, 0.96443683
74, 1674492827.18036962, 5.78915262, -1.64792049, 0.07123354, -0.00184179, -0.01273403, -0.26730985, 0.96352472
75, 1674492827.33251047, 5.88508034, -1.68098032, 0.07597984, -0.00189772, -0.01255225, -0.27101678, 0.96249091
76, 1674492827.41232324, 5.95125055, -1.74234104, 0.07634275, -0.00193259, -0.01286959, -0.27594243, 0.96108606
77, 1674492827.48731017, 6.06705046, -1.78708017, 0.07558746, -0.00184123, -0.01288259, -0.27824488, 0.96042201
78, 1674492827.57117963, 6.12941265, -1.84367478, 0.06969760, -0.00190573, -0.01340556, -0.28152889, 0.95945721
79, 1674492827.68432546, 6.21414328, -1.89283645, 0.06898688, -0.00208344, -0.01409331, -0.28279342, 0.95907503
80, 1674492827.84826136, 6.27496195, -1.94899571, 0.07064351, -0.00212099, -0.01446145, -0.28513912, 0.95837469
81, 1674492827.88868046, 6.37448215, -2.00357294, 0.07896789, -0.00211269, -0.01418440, -0.28707692, 0.95780018
82, 1674492827.99625850, 6.45854759, -2.05705571, 0.09371776, -0.00190026, -0.01347217, -0.28905107, 0.95721699
83, 1674492828.09551454, 6.56123734, -2.11867476, 0.10033788, -0.00176727, -0.01313804, -0.29084095, 0.95667958
84, 1674492828.19818807, 6.63835955, -2.17406559, 0.09862754, -0.00176989, -0.01330000, -0.29303920, 0.95600628
85, 1674492828.28475809, 6.70600557, -2.23654795, 0.09714415, -0.00173670, -0.01373988, -0.29447125, 0.95555998
86, 1674492828.38861227, 6.78089714, -2.28282928, 0.09020831, -0.00179601, -0.01443821, -0.29513315, 0.95534535
87, 1674492828.53379893, 6.84876108, -2.33240652, 0.09159189, -0.00199963, -0.01550196, -0.29672071, 0.95483638
88, 1674492828.58066964, 6.94172192, -2.37215590, 0.08367420, -0.00194603, -0.01564485, -0.29817243, 0.95438182
89, 1674492828.69281888, 7.01489449, -2.43946171, 0.09220616, -0.00204293, -0.01561005, -0.30018004, 0.95375264
90, 1674492828.80681872, 7.09434605, -2.48521233, 0.09105681, -0.00202141, -0.01594899, -0.30133461, 0.95338292
91, 1674492828.89459133, 7.17802429, -2.54030132, 0.09808117, -0.00191469, -0.01607577, -0.30288204, 0.95289054
92, 1674492828.99223661, 7.24891567, -2.60218978, 0.08866601, -0.00189848, -0.01709602, -0.30525811, 0.95211428
93, 1674492829.09386444, 7.30302048, -2.65492535, 0.09701531, -0.00172836, -0.01707894, -0.30716323, 0.95150201
94, 1674492829.20583010, 7.31586695, -2.72050619, 0.09769012, -0.00156401, -0.01737785, -0.30971130, 0.95067054
95, 1674492829.29897189, 7.38132000, -2.78904319, 0.11224775, -0.00163949, -0.01727025, -0.31191063, 0.94995306
96, 1674492829.41603422, 7.48921680, -2.85365939, 0.12483840, -0.00152307, -0.01723714, -0.31438819, 0.94913678
97, 1674492829.48326731, 7.61302233, -2.91551518, 0.13648315, -0.00157644, -0.01684779, -0.31566247, 0.94872065
